Time,Sensor1,Sensor2
0.0,567,822
0.1,604,673
0.2,503,507
0.3,335,348
0.4,333,332
0.5,279,275
0.61,247,243
0.71,237,234
0.81,225,229
0.91,255,269
1.01,142,143
1.11,257,286
1.21,399,435
1.31,486,511
1.41,523,549
1.51,566,590
1.61,575,593
1.71,582,593
1.82,580,579
1.92,716,718
2.02,614,594
2.12,476,447
2.22,202,253
2.32,265,264
2.42,221,207
2.52,190,182
2.62,183,173
2.72,177,177
2.82,207,211
2.92,92,85
3.03,198,220
3.13,340,379
3.23,453,472
3.33,486,510
3.43,535,557
3.53,552,567
3.63,554,575
3.73,558,565
3.83,512,736
3.93,572,599
4.03,459,448
4.13,179,197
4.24,258,258
4.34,214,205
4.44,180,176
4.54,171,174
4.64,172,168
4.74,195,201
4.84,85,78
4.94,186,210
5.04,332,371
5.14,448,469
5.24,482,500
5.34,530,548
5.45,548,560
5.55,551,561
5.65,556,562
5.75,510,724
5.85,598,589
5.95,466,440
6.05,175,181
6.15,256,249
6.25,213,198
6.35,181,174
6.45,176,168
6.56,170,163
6.66,195,202
6.76,81,78
6.86,189,212
6.96,335,369
7.06,443,463
7.16,480,501
7.26,527,545
7.36,548,558
7.46,553,563
7.56,554,557
7.66,505,731
7.77,566,589
7.87,449,436
7.97,169,222
8.07,248,252
8.17,211,195
8.27,183,171
8.37,178,169
8.47,171,163
8.57,199,207
8.67,90,82
8.77,195,218
8.87,343,379
8.98,446,469
9.08,483,505
9.18,530,551
9.28,548,556
9.38,552,560
9.48,551,558
9.58,691,692
9.68,582,570
9.78,448,418
9.88,222,239
9.98,253,240
10.08,204,189
10.19,176,166
10.29,171,165
10.39,166,168
10.49,210,217
10.59,116,124
10.69,256,284
10.79,524,491
10.89,473,477
10.99,518,535
11.09,545,557
11.19,551,556
11.3,555,564
11.4,515,515
11.5,609,608
11.6,479,453
11.7,321,119
11.8,281,238
11.9,217,194
12.0,178,162
12.1,171,164
12.2,168,161
12.3,202,206
12.41,96,101
12.51,225,258
12.61,379,503
12.71,451,474
12.81,501,524
12.91,538,554
13.01,548,559
13.11,551,568
13.21,522,519
13.31,629,629
13.41,503,480
13.52,353,318
13.62,272,252
13.72,222,206
13.82,182,169
13.92,171,164
14.02,168,155
14.12,189,201
14.22,80,78
14.32,196,222
14.42,348,385
14.52,445,467
14.62,486,510
14.73,535,545
14.83,547,559
14.93,553,557
15.03,538,537
15.13,653,658
15.23,540,519
15.33,389,356
15.43,274,257
15.53,235,217
15.63,185,175
15.73,171,162
15.84,169,162
15.94,176,177
16.04,70,67
16.14,165,186
16.24,308,344
16.34,445,465
